"case_id","slug","title","h1","target_user","pain_summary","intro_copy","keywords","faq1_q","faq1_a","faq2_q","faq2_a","faq3_q","faq3_a"

"P2B-09","freelancer-design-90","떼인 디자인비 90만 원, 소액이라 포기? 프리랜서 미수금 해결법","스타트업 외주비 90만 원 미지급, 노동청 신고와 지급명령 비교","소액이라 소송 비용이 더 나올까 봐 망설여지는 프리랜서 디자이너","소송 비용 대비 실익 우려, 노동청 신고 가능 여부","밤새 작업해서 넘겨준 디자인 시안, 돈 줄 때는 연락이 뜸한가요? 금액이 적어 변호사를 쓰기도 애매하지만, 포기하기엔 내 노력이 너무 아깝습니다. 떼인 돈 계산기로 지연이자까지 확인하고 가장 경제적인 회수 방법을 찾아보세요.","프리랜서 미수금, 소액 외주비 체불, 노동청 신고 프리랜서, 90만원 떼인 돈","프리랜서도 노동청 신고가 가능한가요?","근로자성이 인정된다면 가능합니다. 출퇴근 시간이 정해져 있었거나, 구체적인 지휘 감독을 받았다면 노동청 진정을 통해 해결할 수 있습니다.","소액인데 변호사를 꼭 써야 하나요?","100만 원 미만의 소액 사건은 변호사 없이 '나홀로 소송'이나 '지급명령' 신청을 통해 비용을 최소화하여 진행하는 경우가 많습니다.","계약서 없이 카톡으로만 일했는데 괜찮나요?","네, 가능합니다. 카카오톡 대화 내용, 이메일로 보낸 결과물, 주고받은 견적서 등이 계약의 존재와 업무 완료를 입증하는 강력한 증거가 됩니다."

"P2B-10","yoga-instructor-gym-closed","헬스장 폐업 후 잠적한 사장, 강사료 체불 대지급금 신청 가이드","폐업한 헬스장 미지급 강사료 200만 원, 국가에서 먼저 받는 법","사업주 잠적과 폐업으로 인해 막막한 프리랜서 강사","사업주 연락두절, 복잡한 대지급금 절차","갑작스러운 폐업 통보에 월급도 못 받고 사장님은 연락이 안 되나요? 사업주가 능력이 없더라도 국가가 임금의 일부를 대신 지급하는 대지급금 제도를 활용할 수 있습니다.","강사료 임금체불, 헬스장 폐업 임금, 노동청 대지급금 신청, 체당금 받는 법","사장이 연락을 안 받는데 신고할 수 있나요?","네, 가능합니다. 사업주가 출석하지 않아도 노동청에 진정을 제기하여 '체불 임금 등·사업주 확인서'를 발급받는 절차를 진행할 수 있습니다.","프리랜서 강사도 대지급금을 받을 수 있나요?","근로기준법상 근로자로 인정받는 것이 우선입니다. 고정 급여, 업무 지시 여부 등을 통해 근로자성을 입증하면 대지급금 신청 자격이 생깁니다.","헬스장이 이미 망해서 돈이 없다는데 어떡하죠?","회사가 파산했거나 사실상 도산한 경우, 도산 대지급금(구 체당금)을 통해 국가로부터 일정 금액 한도 내에서 체불 임금을 받을 수 있습니다."

"P2B-12","construction-daily-wage-150","건설 현장 일당 체불, 근로계약서 없어도 노동청 신고하는 법","일용직 임금 150만 원 미지급, 십장/오야지가 아닌 실사용자 찾기","근로계약서가 없어 입증이 불안한 건설 일용직 근로자","근로계약서 부재로 인한 입증 불안, 형사 고소 가능 여부","땀 흘려 일한 대가를 차일피일 미루는 현장 소장님 때문에 속타시죠? 근로계약서를 쓰지 않았더라도 출근 기록과 통장 입금 내역만 있다면 법적 보호를 받을 수 있는 길이 있습니다.","일용직 임금 체불, 건설 일당 미지급, 근로계약서 없는 임금, 임금 체불 형사 고소","근로계약서를 안 썼는데 신고 되나요?","네, 근로계약서 미작성은 사업주의 의무 위반일 뿐, 근로자가 임금을 못 받을 이유는 되지 않습니다. 출역 일보나 통장 내역으로 입증 가능합니다.","오야지(팀장)가 돈을 떼먹고 도망갔습니다.","건설산업기본법에 따라 직상 수급인(원청)에게 임금 지급 책임을 물을 수 있는 경우가 있습니다. 노동청에 진정 시 원청 회사를 함께 명시하는 것이 좋습니다.","임금 체불로 처벌할 수도 있나요?","임금 체불은 반의사불벌죄로, 사업주가 지급하지 않을 경우 형사 처벌(벌금형 등)을 받을 수 있어 이를 압박 수단으로 활용할 수 있습니다."

"P2B-13","editor-freelancer-60","출판사 외주비 상습 체불, 60만 원 소액이라 무시한다면?","외주 편집비 60만 원 미지급, 전자소송 지급명령으로 압박하기","소액이라 버티는 채무자에 분노하는 출판 프리랜서","소액이라 무시함, 지연 이자 청구 욕구","'금방 준다'는 말만 믿고 기다린 지 몇 달째인가요? 소액이라 포기할 거라 생각하는 악덕 업체에게 떼인 돈 계산기로 계산된 이자까지 포함하여 지급명령을 신청하세요. 법원의 우편물은 강력한 경고가 됩니다.","출판 외주비 체불, 소액심판 지급명령, 소액 떼인 돈 이자, 상습 체불 대처","60만 원 받자고 소송하는 게 손해 아닐까요?","독촉절차인 '지급명령'을 이용하면 인지대가 소송의 1/10 수준으로 저렴하며, 법원에 출석하지 않고도 신속하게 집행권원을 얻을 수 있습니다.","이자도 받을 수 있나요?","네, 상법상 연 6%의 이자가 발생하며, 소송 촉진 등에 관한 특례법에 따라 소송 제기 후에는 연 12%의 지연손해금을 청구할 수 있습니다.","상대가 계속 거짓말로 미루기만 합니다.","상습적인 체불과 거짓말은 채무 불이행 의사를 명확히 보여줍니다. 더 이상 기다리지 말고 내용증명 발송이나 지급명령 신청 등 법적 절차를 시작해야 합니다."

"P2B-14","marketer-contract-dispute-500","마케팅 용역비 미지급, 불리한 계약서와 성과 시비 대처법","계약 불이행 핑계로 500만 원 안 주는 클라이언트 대응","계약서 조항이나 성과 시비 때문에 걱정하는 마케팅 프리랜서","불리한 계약서 조항, 가압류 필요성","열심히 성과를 냈는데 꼬투리 잡으며 잔금을 안 주나요? 상대방의 계약 불이행 주장을 반박하고 용역 제공 완료를 입증하는 것이 핵심입니다. 감정적 대응보다는 냉정한 법적 절차가 필요합니다.","마케팅 용역비 미수, 계약 불이행 미수금, 채권 가압류 절차, 민사 소송 준비","성과가 안 좋다고 돈을 안 줍니다.","계약 내용이 '결과물의 완성'인지 '특정 성과 달성'인지에 따라 다릅니다. 단순히 성과가 기대에 미치지 못했다는 이유만으로는 대금 지급을 거절하기 어렵습니다.","가압류를 먼저 해야 하나요?","상대방이 재산을 빼돌릴 우려가 있다면 소송 전 통장 가압류 등을 통해 자산을 동결하는 것이 회수 확률을 높이는 방법입니다.","정식 계약서 없이 이메일로만 합의했습니다.","이메일이나 메신저로 주고받은 견적서, 업무 지시 내용, 결과물 발송 내역 등도 계약의 성립과 이행을 증명하는 유효한 증거가 됩니다."

"C2C-15","friend-loan-no-contract-1000","차용증 없는 친구 돈거래 1천만 원, 증여 아닌 대여금 입증하기","친구에게 빌려준 사업자금 1천만 원, 카톡 대화로 돌려받는 법","'증여' 주장에 배신감 느끼는 지인 채권자","증여 주장(그냥 준 돈이다), 카톡 증거 법적 효력","믿고 빌려줬는데 '그냥 준 거 아니었어?'라며 오리발을 내미나요? 떼인 돈 계산기 결과와 함께, 주고받은 카톡 대화를 통해 이것이 '대여금'임을 입증할 수 있습니다. 포기하지 마세요.","친구에게 빌려준 돈, 차용증 없는 대여금, 카톡 증거 효력, 증여 주장 반박","차용증이 없는데 소송이 되나요?","네, 가능합니다. 계좌 이체 내역과 함께 '언제 갚을게', '미안해 조금만 기다려줘' 같은 카톡 대화나 통화 녹음이 있다면 대여 사실을 입증할 수 있습니다.","친구가 그냥 준 돈이라고 우깁니다.","상대방이 이자를 지급했거나 일부라도 갚은 내역이 있다면, 이는 돈을 빌렸다는 것을 인정하는 강력한 정황 증거가 됩니다.","공증을 안 받았는데 괜찮을까요?","공증이 없어도 민사 소송이나 지급명령을 통해 승소 판결을 받으면, 강제집행을 할 수 있는 권한(집행권원)을 얻을 수 있습니다."

"C2C-16","colleague-urgent-loan-500","직장 동료에게 빌려준 급전 500만 원, 지급명령 신청 절차","동료가 급하다 해서 이체한 500만 원, 퇴사 후 연락 두절 해결책","무이자 대여를 후회하며 지급명령과 소송 중 고민하는 채권자","무이자 대여에 대한 후회, 지급명령과 소송 선택","사정이 딱해 도와줬는데 퇴사 후 연락을 피하고 있나요? 계좌 이체 내역이 확실하다면 복잡한 소송 대신 법원의 서류 심사만으로 결정되는 지급명령으로 신속하게 독촉할 수 있습니다.","계좌 이체 대여금 입증, 빌려준 돈 이자 청구, 지급명령 신청 방법, 직장 동료 돈","이자 약속을 안 했는데 이자를 받을 수 있나요?","변제 기한이 지났다면, 그때부터는 민법상 연 5%의 지연손해금을 법적으로 청구할 수 있습니다.","지급명령이 무엇인가요?","채권자의 신청 서류만 보고 법원이 채무자에게 돈을 갚으라고 명령하는 절차로, 일반 소송보다 비용이 적고 확정되면 판결문과 같은 효력이 있습니다.","상대방 주소를 모르면 어떻게 하죠?","지급명령은 상대방 주소를 알아야 송달이 가능합니다. 주소를 모른다면 정식 민사 소송을 제기하여 통신사 사실조회 등을 통해 주소를 파악해야 합니다."

"C2C-18","second-hand-fraud-30","중고나라 사기 피해 30만 원, 경찰 신고와 배상명령 신청","중고 거래 먹튀 30만 원, 민사 소송 없이 돈 돌려받는 배상명령","사기꾼 신원 미파악에 답답해하는 중고 거래 피해자","사기꾼 신원 특정 어려움, 형사/민사 병행 방법","소액이라고 경찰 신고만 하고 포기하셨나요? 형사 재판 과정에서 별도의 민사 소송 없이 피해 금액을 돌려받으라는 명령을 받아낼 수 있는 '배상명령' 제도를 적극 활용해 보세요.","중고거래 사기 피해금, 소액 사기 고소, 배상 명령 신청, 신원 특정","범인이 잡히면 돈을 바로 받을 수 있나요?","범인이 잡혀도 돈을 바로 주는 것은 아닙니다. 형사 합의를 하거나, 법원에 배상명령을 신청하여 집행권원을 확보해야 강제집행이 가능합니다.","배상명령 신청은 어떻게 하나요?","사기범이 기소되어 형사 재판이 진행 중일 때, 해당 법원에 배상명령 신청서를 제출하면 됩니다. 별도의 인지대가 들지 않습니다.","민사 소송을 따로 해야 하나요?","배상명령이 인용되어 확정되면 민사 판결문과 동일한 효력이 있으므로, 별도의 민사 소송을 하지 않아도 강제집행이 가능합니다."

"C2C-19","ex-lover-living-expense-2000","헤어진 연인에게 빌려준 2천만 원, 데이트 비용 vs 대여금 구분","전 연인 생활비/월세 대납 2천만 원, 이별 후 법적 반환 청구","감정적 고통으로 협상이 불가능하고 연인 관계 채무 입증이 난해한 채권자","감정적 고통, 연인 관계 채무 입증 난해함","사랑했던 사이라 차용증 없이 생활비를 보태줬나요? 상대방이 '증여'나 '데이트 비용'이라고 주장할 때를 대비해 떼인 돈 계산기로 정확한 반환 범위를 확인하고 법적 대응을 준비하세요.","헤어진 연인 돈 문제, 연인 간 대여금 소송, 데이트 비용 반환, 생활비 대여","데이트 비용도 돌려받을 수 있나요?","단순한 데이트 비용이나 선물은 증여로 보아 돌려받기 어렵지만, '빌려준 돈'이나 '대납해 준 월세' 등 갚기로 약속한 금전은 대여금으로 청구 가능합니다.","증거가 카톡밖에 없는데 괜찮나요?","연인 사이에서는 카톡 대화가 핵심 증거입니다. '나중에 줄게', '미안해' 등 채무를 인정하는 내용이 있다면 승소 가능성이 높아집니다.","상대가 연락을 끊고 잠수를 탔습니다.","소송을 제기한 후 주소 보정 명령을 통해 상대방의 주민등록초본을 발급받아 주소를 파악할 수 있으며, 끝까지 송달이 안 되면 공시송달로 판결을 받을 수 있습니다."

"P2C-28","cleaning-service-dispute-40","입주 청소 잔금 40만 원 미지급, 고객 불만과 대금 청구","청소 상태 트집 잡으며 잔금 40만 원 안 주는 고객 대응법","고객 불만 제기에 위축된 청소 업체 소상공인","고객 불만 제기에 대한 위축감, 현장 증거 사진 중요성","청소는 끝났는데 꼬투리를 잡으며 잔금을 안 주시나요? 감정적으로 대응하기보다 작업 완료 사진과 견적서를 바탕으로 당당하게 지급을 요청해야 합니다. 법은 무조건 고객 편이 아닙니다.","입주 청소 잔금, 서비스 대금 미지급, 내용증명 작성법, 소액 분쟁","고객이 청소 상태가 마음에 안 든다고 돈을 안 줍니다.","단순 불만족은 대금 지급 거절 사유가 되지 않습니다. 중대한 하자가 있다면 보수나 감액을 요구할 수는 있어도, 대금 전체를 안 주는 것은 부당합니다.","내용증명을 보내면 해결될까요?","내용증명은 상대방에게 강력한 심리적 압박을 주어 소송 전에 대금을 지급하게 만드는 효과적인 수단이 될 수 있습니다.","소송하기엔 금액이 너무 적은데요.","3,000만 원 이하의 금전 청구는 '이행권고결정'이나 '소액심판'을 통해 비교적 간편하고 빠르게 판결을 받을 수 있습니다."

